day,segment,headline,detail
1,M,Segment M summary Day 1,"1) During the morning segment, the Insurance sector led the move with an average change of 0.74%, supported by active interest in names like HDFCLIFE.
2) In contrast, the Consumer space lagged with an average move of -1.45%, where stocks such as ASIANPAINT saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Insurance leaders while keeping position size smaller or avoiding fresh entries in weaker Consumer counters until the trend and volumes stabilise."
1,D,Segment D summary Day 1,"1) During the midday segment, the Infra sector led the move with an average change of 2.43%, supported by active interest in names like ADANIPORTS.
2) In contrast, the Banking space lagged with an average move of -0.32%, where stocks such as HDFCBANK, ICICIBANK and others saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Infra leaders while keeping position size smaller or avoiding fresh entries in weaker Banking counters until the trend and volumes stabilise."
1,C,Segment C summary Day 1,"1) During the closing segment, the Infra sector led the move with an average change of 1.44%, supported by active interest in names like ADANIPORTS.
2) In contrast, the Cement space lagged with an average move of -1.65%, where stocks such as ULTRACEMCO saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Infra leaders while keeping position size smaller or avoiding fresh entries in weaker Cement counters until the trend and volumes stabilise."
2,M,Segment M summary Day 2,"1) During the morning segment, the Infra sector led the move with an average change of 4.55%, supported by active interest in names like ADANIPORTS.
2) In contrast, the Financial Services space lagged with an average move of -0.72%, where stocks such as BAJAJFINSV saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Infra leaders while keeping position size smaller or avoiding fresh entries in weaker Financial Services counters until the trend and volumes stabilise."
2,D,Segment D summary Day 2,"1) During the midday segment, the Consumer sector led the move with an average change of 0.31%, supported by active interest in names like ASIANPAINT.
2) In contrast, the Infra space lagged with an average move of -3.29%, where stocks such as ADANIPORTS saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Consumer leaders while keeping position size smaller or avoiding fresh entries in weaker Infra counters until the trend and volumes stabilise."
2,C,Segment C summary Day 2,"1) During the closing segment, the Infra sector led the move with an average change of 8.57%, supported by active interest in names like ADANIPORTS.
2) In contrast, the Consumer space lagged with an average move of -0.61%, where stocks such as ASIANPAINT saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Infra leaders while keeping position size smaller or avoiding fresh entries in weaker Consumer counters until the trend and volumes stabilise."
3,M,Segment M summary Day 3,"1) During the morning segment, the Banking sector led the move with an average change of 0.67%, supported by active interest in names like HDFCBANK, ICICIBANK and others.
2) In contrast, the Consumer space lagged with an average move of -1.31%, where stocks such as ASIANPAINT saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Banking leaders while keeping position size smaller or avoiding fresh entries in weaker Consumer counters until the trend and volumes stabilise."
3,D,Segment D summary Day 3,"1) During the midday segment, the Cement sector led the move with an average change of 1.41%, supported by active interest in names like ULTRACEMCO.
2) In contrast, the Infra space lagged with an average move of -5.90%, where stocks such as ADANIPORTS saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Cement leaders while keeping position size smaller or avoiding fresh entries in weaker Infra counters until the trend and volumes stabilise."
3,C,Segment C summary Day 3,"1) During the closing segment, the Infra sector led the move with an average change of 2.80%, supported by active interest in names like ADANIPORTS.
2) In contrast, the Consumer space lagged with an average move of -0.50%, where stocks such as ASIANPAINT saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Infra leaders while keeping position size smaller or avoiding fresh entries in weaker Consumer counters until the trend and volumes stabilise."
4,M,Segment M summary Day 4,"1) During the morning segment, the Infra sector led the move with an average change of 1.61%, supported by active interest in names like ADANIPORTS.
2) In contrast, the Cement space lagged with an average move of -0.98%, where stocks such as ULTRACEMCO saw either profit booking or muted follow-through.
3) Short-term traders may favour momentum setups in Infra leaders while keeping position size smaller or avoiding fresh entries in weaker Cement counters until the trend and volumes stabilise."
